铭瑄（MAXSUN）GeForce GTX 1050Ti终结者4G 128bit/GDDR5 主流电竞游戏显卡/ 独显,【甜品级游戏显卡】畅玩暴雪全家桶！太极定制LED背板！直触热管！太极正反吹散热，三年质保！游戏娱乐嗨畅新竞界！,4000+,铭瑄京东官方自营旗...,1499.00,3892430
华硕（ASUS）DUAL-GeForce GTX1050-2G-V2 1354-1455MHz 7008MHz GDDR5 雪豹游戏显卡 无需外接电源,"【即插即用】雪豹双风强散热,全自动化制程技术,更稳定耐用!点我升级1050Ti明星款",3700+,华硕京东自营旗舰店,1149.00,5056317
铭瑄（MAXSUN）MS-RX Vega 64 公版8G 1247-1546MHz/8G HBM2显存/吃鸡显卡/绝地求生/AMD显卡/电竞游戏显卡,"【吃鸡显卡】抢手货限量发售，AMD公版信仰！畅玩绝地求生大逃杀！全新游戏架构,离心式涡轮风扇,全新Vega核心,HBM2显存技术，只为更加身临其境的游戏体！不只是显卡， 更是一尊艺术品！",40+,铭瑄京东官方自营旗...,5999.00,5356400
迪兰（Dataland）DEVIL RX580 8G 1411-1439/8000MHz 8GB/256-bit GDDR5 DX12独立游戏显卡,DEVIL重装归来 从芯出发，DEVIL信仰灯加持，高主频高性能 玩转4K 信仰之选点此：查看迪兰旗舰店,1000+,迪兰京东自营旗舰店,3199.00,4091539
影驰（Galaxy）GTX 1060 GAMER 1556(1771)MHz/8GHz 6G/192Bit D5 PCI-E吃鸡显卡,"【三年质保,游戏定制】魔盘真彩技术，炫彩RGB信仰灯，GAMER金属背板，游戏畅玩!★轻奢豪华,一起70★",8300+,影驰京东自营旗舰店,3099.00,3360168
丽台（LEADTEK）Quadro P2000 5GB GDDR5/160bit/140GBps/CUDA核心1024 Pascal GPU建模渲染绘图专业显卡,5GB GDDR5显存，4个DP1.4接口，自带1根DP转DVI转接线；支持4个5K显示器输出；支持Windows7/8/10,500+,丽台旗舰店,3369.00,4991746
英伟达(NVIDIA)TITAN Xp COLLECTOR'S EDITION(Jedi  Order)星球大战 典藏版(绝地武士)显卡,TITAN Xp星战典藏版京东首发！,10,,9699.00,6512927
华硕（ASUS）ROG-STRIX-RX580-O8G-GAMING 8G/8000MHz 256bit GDDR5 PCI-E3.0电竞游戏显卡 “吃鸡”显卡,"【三年质保!“吃鸡”利器】ROG猛禽系列,前后RGB信仰灯,8PIN外接电源接口,三风扇散热设计【点我】即可购T8G版",3900+,华硕京东自营旗舰店,3899.00,4871626
技嘉(GIGABYTE)GeForce GTX 1060 G1 GAMING 1594-1809MHzHz/8008MHz 3G/192bit GDDR5绝地求生/吃鸡显卡,"高能电竞卡!G1信仰加成!低功耗,高性能,炫酷外形全金属背板.轻松游戏无压力!★显存翻倍,只需一点★",2900+,技嘉京东自营官方旗...,2499.00,3500998
EVGA GTX1070 8G SC Black Edition GAMING ACX 3.0 white LED 1594-1784MHz/8008MHz 电脑吃鸡游戏独立显卡,“十”破天惊新设计，白光LED搭配EVGA新一代超频软件，Black Edition 释放电竞游戏的强大力量！,1000+,EVGA京东自营官...,3799.00,3598000
映众 GeForce GTX1080 X4冰龙超级版 ICHILL 1873MHz/10.4Gbps 8GB/256Bit GDDR5X PCI-E吃鸡显卡,4K级高能电竞核弹畅快吃鸡！四风扇七热管巨无霸诚意满满！超低温度，带RGB监控灯+金属背板！★热销1080Ti冰龙超级★,2000+,,4999.00,3136990
华硕（ASUS）ROG STRIX-GeForce GTX1080TI-11G-GAMING 1480-1620MHz 11010MHz 猛禽游戏电竞专业显卡,"【吃鸡显卡】55℃智能风扇,加大散热片,RGB炫彩灯效,VR友好电竞神器!【点我抢】1070Ti新品震撼发售",2600+,华硕京东自营旗舰店,9699.00,4709294
技嘉（GIGABYTE） GV- GTX1050TI WF2OC-4GD 台式独立游戏显 技嘉GTX1050ti,晒图送10元红包，风之力双风扇散热 ， 轻松电竞！,1000+,灵竞DIY专营店,1499.00,10512794092
耕升 GeForce GTX1050Ti 烈风 1354MHz/1468MHz/7008MHz 4G/128bit GDDR5 显卡,【频率高！性能好！三年质保！】全固态电容！全封闭电感！3+1相全数字GPU核心供电！6pin接口供电！加一点上烈风RGB！,500+,耕升京东自营旗舰店,1599.00,4252396
