Python开发工程师,深圳·南头,10k-20k,经验1-3年 / 本科,极光,"移动互联网,数据服务 / D轮及以上",“五险一金、14薪/年、下午茶、工作餐等等”,云计算,https://www.lagou.com/jobs/907162.html
Python开发工程师,北京·中关村,18k-28k,经验1-3年 / 硕士,爱奇艺,"广告营销,文化娱乐 / D轮及以上",“14薪，12天带薪年假，地铁周边”,"云计算, 直播, 资深, 高级, django",https://www.lagou.com/jobs/3029530.html
Python软件开发工程师,深圳·南山区,15k-20k,经验1-3年 / 本科,深信服科技集团,"信息安全,企业服务 / 不需要融资","“平台大,发展快,待遇好,福利棒”",django,https://www.lagou.com/jobs/4009780.html
Python工程师,北京·海淀区,20k-40k,经验1-3年 / 本科,Face++,"移动互联网,硬件 / C轮","“技术驱动,极客氛围,大牛团队”","中级, 后端, django",https://www.lagou.com/jobs/3093928.html
Python软件开发工程师,深圳·南山区,15k-20k,经验1-3年 / 本科,深信服科技集团,"信息安全,企业服务 / 不需要融资","“平台大,发展快,待遇好,福利棒”",django,https://www.lagou.com/jobs/4009780.html
Python开发工程师,深圳·深圳湾,15k-30k,经验3-5年 / 本科,商汤科技,移动互联网 / B轮,"“人工智能,福利好,技术大牛多,弹性工作”","高级, 大数据, Java",https://www.lagou.com/jobs/4124555.html
高级Python研发工程师,上海·徐汇区,15k-30k,经验3-5年 / 本科,贝米钱包,金融 / A轮,"“商业保险,年度旅游,带薪年病假,弹性工作”","金融, 后端开发, MySQL, redis, 架构",https://www.lagou.com/jobs/3346434.html
Python开发工程师（上海）,上海·东外滩,15k-30k,经验不限 / 本科,平安科技,金融 / 不需要融资,“世界50强 节日福利 绩效丰厚”,"大数据, 数据挖掘",https://www.lagou.com/jobs/4184905.html
高级Python研发工程师,上海·徐汇区,15k-30k,经验3-5年 / 本科,贝米钱包,金融 / A轮,"“商业保险,年度旅游,带薪年病假,弹性工作”","金融, 后端开发, MySQL, redis, 架构",https://www.lagou.com/jobs/3346434.html
Python开发工程师（中级）,深圳·翻身路,10k-15k,经验1-3年 / 本科,极光,"移动互联网,数据服务 / D轮及以上",“五险一金、14薪/年、下午茶、工作餐等等”,"五险一金, 文体活动, 团建旅游, 美味晚餐",https://www.lagou.com/jobs/1411029.html
服务端高级开发工程师Golang/Python,北京·望京,35k-45k,经验3-5年 / 本科,美团点评,"移动互联网,O2O / D轮及以上","“优厚待遇,技术导向”","资深, 大数据, C++, Java",https://www.lagou.com/jobs/4134091.html
Python开发工程师,深圳·南头,10k-20k,经验1-3年 / 本科,极光,"移动互联网,数据服务 / D轮及以上",“五险一金、14薪/年、下午茶、工作餐等等”,云计算,https://www.lagou.com/jobs/907162.html
服务端高级开发工程师Golang/Python,北京·望京,35k-45k,经验3-5年 / 本科,美团点评,"移动互联网,O2O / D轮及以上","“优厚待遇,技术导向”","资深, 大数据, C++, Java",https://www.lagou.com/jobs/4134091.html
